Drug	Drug_Status	Sensitivity	Specificity	ACC	PPV	NPV	FPR	Classifier
17.AAG_IC_50.1	Resistant	0.625	0.840425532	0.802631579	0.454545455	0.913294798	0.159574468	Deep Learning
17.AAG_IC_50.1	Sensitive	0.787878788	0.748717949	0.754385965	0.346666667	0.954248366	0.251282051	Deep Learning
681640_IC_50.1	Resistant	0.30952381	0.956989247	0.837719298	0.619047619	0.859903382	0.043010753	Deep Learning
681640_IC_50.1	Sensitive	0.219512195	0.967914439	0.833333333	0.6	0.849765258	0.032085562	Deep Learning
A.443654_IC_50.1	Resistant	0.4375	0.905660377	0.872807018	0.259259259	0.955223881	0.094339623	Deep Learning
A.443654_IC_50.1	Sensitive	0.090909091	0.995391705	0.951754386	0.5	0.955752212	0.004608295	Deep Learning
A.770041_IC_50.1	Resistant	0.666666667	0.928571429	0.907894737	0.444444444	0.970149254	0.071428571	Deep Learning
A.770041_IC_50.1	Sensitive	0.5	0.942857143	0.907894737	0.428571429	0.956521739	0.057142857	Deep Learning
ABT.263_IC_50.1	Resistant	0.676470588	0.757731959	0.745614035	0.328571429	0.930379747	0.242268041	Deep Learning
ABT.263_IC_50.1	Sensitive	0.594594595	0.921465969	0.868421053	0.594594595	0.921465969	0.078534031	Deep Learning
ABT.888_IC_50.1	Resistant	0.157894737	0.985645933	0.916666667	0.5	0.927927928	0.014354067	Deep Learning
ABT.888_IC_50.1	Sensitive	0.333333333	0.902564103	0.820175439	0.366666667	0.888888889	0.097435897	Deep Learning
AG.014699_IC_50.1	Resistant	0.5	0.864583333	0.807017544	0.409090909	0.902173913	0.135416667	Deep Learning
AG.014699_IC_50.1	Sensitive	0.529411765	0.81443299	0.771929825	0.333333333	0.908045977	0.18556701	Deep Learning
AICAR_IC_50.1	Resistant	0.5	0.882653061	0.828947368	0.41025641	0.915343915	0.117346939	Deep Learning
AICAR_IC_50.1	Sensitive	0.866666667	0.747474748	0.763157895	0.342105263	0.973684211	0.252525253	Deep Learning
AKT.inhibitor.VIII_IC_50.1	Resistant	0.212121212	0.98974359	0.877192983	0.777777778	0.881278539	0.01025641	Deep Learning
AKT.inhibitor.VIII_IC_50.1	Sensitive	0.555555556	0.78125	0.745614035	0.322580645	0.903614458	0.21875	Deep Learning
AMG.706_IC_50.1	Resistant	0.166666667	1	0.956140351	1	0.955752212	0	Deep Learning
AMG.706_IC_50.1	Sensitive	0.291666667	0.975490196	0.903508772	0.583333333	0.921296296	0.024509804	Deep Learning
AP.24534_IC_50.1	Resistant	0.095238095	0.995169082	0.912280702	0.666666667	0.915555556	0.004830918	Deep Learning
AP.24534_IC_50.1	Sensitive	0.619047619	0.913043478	0.885964912	0.419354839	0.959390863	0.086956522	Deep Learning
AS601245_IC_50.1	Resistant	0.540540541	0.848167539	0.798245614	0.408163265	0.905027933	0.151832461	Deep Learning
AS601245_IC_50.1	Sensitive	0.43902439	0.834224599	0.763157895	0.367346939	0.87150838	0.165775401	Deep Learning
ATRA_IC_50.1	Resistant	0.0625	1	0.934210526	1	0.933920705	0	Deep Learning
ATRA_IC_50.1	Sensitive	0.296296296	0.975124378	0.894736842	0.615384615	0.911627907	0.024875622	Deep Learning
AUY922_IC_50.1	Resistant	0.84	0.689655172	0.706140351	0.25	0.972222222	0.310344828	Deep Learning
AUY922_IC_50.1	Sensitive	0.208333333	0.990196078	0.907894737	0.714285714	0.914027149	0.009803922	Deep Learning
Axitinib_IC_50.1	Resistant	0.444444444	0.84079602	0.793859649	0.272727273	0.918478261	0.15920398	Deep Learning
Axitinib_IC_50.1	Sensitive	0.65625	0.806122449	0.785087719	0.355932203	0.934911243	0.193877551	Deep Learning
AZ628_IC_50.1	Resistant	0.533333333	0.971830986	0.942982456	0.571428571	0.96728972	0.028169014	Deep Learning
AZ628_IC_50.1	Sensitive	0.642857143	0.915887851	0.899122807	0.333333333	0.975124378	0.08411215	Deep Learning
AZD.0530_IC_50.1	Resistant	0.7	0.899082569	0.890350877	0.24137931	0.984924623	0.100917431	Deep Learning
AZD.0530_IC_50.1	Sensitive	0.272727273	0.980582524	0.912280702	0.6	0.926605505	0.019417476	Deep Learning
AZD.2281_IC_50.1	Resistant	0.047619048	1	0.912280702	1	0.911894273	0	Deep Learning
AZD.2281_IC_50.1	Sensitive	0.225	0.978723404	0.846491228	0.692307692	0.855813954	0.021276596	Deep Learning
AZD6244_IC_50.1	Resistant	0.774193548	0.746192893	0.75	0.324324324	0.954545455	0.253807107	Deep Learning
AZD6244_IC_50.1	Sensitive	0.212121212	0.994871795	0.881578947	0.875	0.881818182	0.005128205	Deep Learning
AZD6482_IC_50.1	Resistant	0.705882353	0.726804124	0.723684211	0.311688312	0.933774834	0.273195876	Deep Learning
AZD6482_IC_50.1	Sensitive	0.457142857	0.943005181	0.868421053	0.592592593	0.905472637	0.056994819	Deep Learning
AZD7762_IC_50.1	Resistant	0.307692308	0.965346535	0.890350877	0.533333333	0.915492958	0.034653465	Deep Learning
AZD7762_IC_50.1	Sensitive	0.275862069	0.989949749	0.899122807	0.8	0.903669725	0.010050251	Deep Learning
AZD8055_IC_50.1	Resistant	0.272727273	0.970873786	0.903508772	0.5	0.925925926	0.029126214	Deep Learning
AZD8055_IC_50.1	Sensitive	0.545454546	0.948717949	0.890350877	0.642857143	0.925	0.051282051	Deep Learning
BAY.61.3606_IC_50.1	Resistant	0.871794872	0.698412698	0.728070175	0.373626374	0.96350365	0.301587302	Deep Learning
BAY.61.3606_IC_50.1	Sensitive	0.411764706	0.93814433	0.859649123	0.538461539	0.900990099	0.06185567	Deep Learning
Bexarotene_IC_50.1	Resistant	0.277777778	0.96875	0.859649123	0.625	0.877358491	0.03125	Deep Learning
Bexarotene_IC_50.1	Sensitive	0.185185185	0.970149254	0.877192983	0.454545455	0.898617512	0.029850746	Deep Learning
BI.2536_IC_50.1	Resistant	0.666666667	0.949074074	0.934210526	0.421052632	0.980861244	0.050925926	Deep Learning
BI.2536_IC_50.1	Sensitive	0.5	0.919811321	0.890350877	0.32	0.960591133	0.080188679	Deep Learning
BIBW2992_IC_50.1	Resistant	0.181818182	0.949308756	0.912280702	0.153846154	0.958139535	0.050691244	Deep Learning
BIBW2992_IC_50.1	Sensitive	0.588235294	0.927835052	0.877192983	0.588235294	0.927835052	0.072164949	Deep Learning
Bicalutamide_IC_50.1	Resistant	0.4	0.965517241	0.903508772	0.588235294	0.928909953	0.034482759	Deep Learning
Bicalutamide_IC_50.1	Sensitive	0.153846154	0.99009901	0.894736842	0.666666667	0.900900901	0.00990099	Deep Learning
BIRB.0796_IC_50.1	Resistant	0.333333333	0.963541667	0.864035088	0.631578947	0.885167464	0.036458333	Deep Learning
BIRB.0796_IC_50.1	Sensitive	0.46875	0.826530612	0.77631579	0.306122449	0.905027933	0.173469388	Deep Learning
Bleomycin_IC_50.1	Resistant	0.28125	0.969387755	0.872807018	0.6	0.892018779	0.030612245	Deep Learning
Bleomycin_IC_50.1	Sensitive	0.3	0.974747475	0.885964912	0.642857143	0.901869159	0.025252525	Deep Learning
BMS.509744_IC_50.1	Resistant	0.136363636	0.985436893	0.903508772	0.5	0.914414414	0.014563107	Deep Learning
BMS.509744_IC_50.1	Sensitive	0.461538462	0.91627907	0.890350877	0.25	0.965686275	0.08372093	Deep Learning
BMS.536924_IC_50.1	Resistant	0.238095238	0.995169082	0.925438597	0.833333333	0.927927928	0.004830918	Deep Learning
BMS.536924_IC_50.1	Sensitive	0.409090909	0.883495146	0.837719298	0.272727273	0.933333333	0.116504854	Deep Learning
BMS.708163_IC_50.1	Resistant	0.56	0.837438424	0.807017544	0.29787234	0.939226519	0.162561576	Deep Learning
BMS.708163_IC_50.1	Sensitive	0.837837838	0.664921466	0.692982456	0.32631579	0.954887218	0.335078534	Deep Learning
BMS.754807_IC_50.1	Resistant	0.5	0.93814433	0.872807018	0.586206897	0.914572864	0.06185567	Deep Learning
BMS.754807_IC_50.1	Sensitive	0.333333333	0.990196078	0.921052632	0.8	0.926605505	0.009803922	Deep Learning
Bortezomib_IC_50.1	Resistant	0.25	0.976415094	0.925438597	0.444444444	0.94520548	0.023584906	Deep Learning
Bortezomib_IC_50.1	Sensitive	0.2	0.995192308	0.925438597	0.8	0.928251121	0.004807692	Deep Learning
Bosutinib_IC_50.1	Resistant	0.833333333	0.612903226	0.653508772	0.327102804	0.94214876	0.387096774	Deep Learning
Bosutinib_IC_50.1	Sensitive	0.358974359	0.978835979	0.872807018	0.777777778	0.880952381	0.021164021	Deep Learning
Bryostatin.1_IC_50.1	Resistant	0.545454546	0.815533981	0.789473684	0.24	0.943820225	0.184466019	Deep Learning
Bryostatin.1_IC_50.1	Sensitive	0.088235294	1	0.864035088	1	0.862222222	0	Deep Learning
BX.795_IC_50.1	Resistant	0.393939394	0.974358974	0.890350877	0.722222222	0.904761905	0.025641026	Deep Learning
BX.795_IC_50.1	Sensitive	0.638888889	0.84375	0.811403509	0.433962264	0.925714286	0.15625	Deep Learning
Camptothecin_IC_50.1	Resistant	0.324324324	0.968586387	0.864035088	0.666666667	0.880952381	0.031413613	Deep Learning
Camptothecin_IC_50.1	Sensitive	0.269230769	0.965346535	0.885964912	0.5	0.911214953	0.034653465	Deep Learning
CCT007093_IC_50.1	Resistant	0.157894737	0.985645933	0.916666667	0.5	0.927927928	0.014354067	Deep Learning
CCT007093_IC_50.1	Sensitive	0.171428571	0.979274611	0.855263158	0.6	0.866972477	0.020725389	Deep Learning
CCT018159_IC_50.1	Resistant	0.52631579	0.821052632	0.771929825	0.37037037	0.896551724	0.178947368	Deep Learning
CCT018159_IC_50.1	Sensitive	0.473684211	0.868421053	0.802631579	0.418604651	0.891891892	0.131578947	Deep Learning
CEP.701_IC_50.1	Resistant	0.655172414	0.824120603	0.802631579	0.351851852	0.942528736	0.175879397	Deep Learning
CEP.701_IC_50.1	Sensitive	0.483870968	0.974619289	0.907894737	0.75	0.923076923	0.025380711	Deep Learning
CGP.082996_IC_50.1	Resistant	0.517241379	0.929648241	0.877192983	0.517241379	0.929648241	0.070351759	Deep Learning
CGP.082996_IC_50.1	Sensitive	0.458333333	0.946078431	0.894736842	0.5	0.936893204	0.053921569	Deep Learning
CGP.60474_IC_50.1	Resistant	0.576923077	0.826732673	0.798245614	0.3	0.938202247	0.173267327	Deep Learning
CGP.60474_IC_50.1	Sensitive	0.272727273	1	0.964912281	1	0.964444444	0	Deep Learning
CHIR.99021_IC_50.1	Resistant	0.444444444	0.961904762	0.921052632	0.5	0.952830189	0.038095238	Deep Learning
CHIR.99021_IC_50.1	Sensitive	0.434782609	0.928571429	0.828947368	0.606060606	0.866666667	0.071428571	Deep Learning
CI.1040_IC_50.1	Resistant	0.525	0.930851064	0.859649123	0.617647059	0.902061856	0.069148936	Deep Learning
CI.1040_IC_50.1	Sensitive	0.461538462	0.96039604	0.903508772	0.6	0.932692308	0.03960396	Deep Learning
Cisplatin_IC_50.1	Resistant	0.609756098	0.877005348	0.828947368	0.520833333	0.911111111	0.122994652	Deep Learning
Cisplatin_IC_50.1	Sensitive	0.151515152	0.994871795	0.872807018	0.833333333	0.873873874	0.005128205	Deep Learning
CMK_IC_50.1	Resistant	0.6	0.891625616	0.859649123	0.405405405	0.947643979	0.108374384	Deep Learning
CMK_IC_50.1	Sensitive	0.545454546	0.825242718	0.798245614	0.25	0.944444444	0.174757282	Deep Learning
Cyclopamine_IC_50.1	Resistant	0.347826087	0.975609756	0.912280702	0.615384615	0.930232558	0.024390244	Deep Learning
Cyclopamine_IC_50.1	Sensitive	0.315789474	0.995215311	0.938596491	0.857142857	0.941176471	0.004784689	Deep Learning
Cytarabine_IC_50.1	Resistant	0.55	0.861702128	0.807017544	0.458333333	0.9	0.138297872	Deep Learning
Cytarabine_IC_50.1	Sensitive	0.393939394	0.974358974	0.890350877	0.722222222	0.904761905	0.025641026	Deep Learning
Dasatinib_IC_50.1	Resistant	0.5	0.995535714	0.986842105	0.666666667	0.991111111	0.004464286	Deep Learning
